Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,112.0,-114.75,0.0,top
C10,100n,C_0603_1608Metric,112.5,-68.75,180.0,top
C11,1n,C_0603_1608Metric,120.25,-68.75,180.0,top
C12,100u,CP_Elec_6.3x7.7,126.0,-85.0,270.0,top
C13,1u,C_0603_1608Metric,115.75,-81.25,180.0,top
C14,1u,C_0603_1608Metric,115.75,-88.75,180.0,top
C15,100n,C_0603_1608Metric,119.25,-81.25,0.0,top
C16,220u,CP_Elec_6.3x7.7,105.0,-85.0,180.0,top
C17,22u,C_0805_2012Metric,106.0,-71.0,180.0,top
C18,100n,C_0603_1608Metric,112.5,-88.75,180.0,top
C19,1n,C_0603_1608Metric,120.25,-88.75,180.0,top
C2,100n,C_0603_1608Metric,129.75,-115.25,0.0,top
C20,100u,CP_Elec_6.3x7.7,155.0,-109.0,0.0,top
C21,1u,C_0603_1608Metric,151.25,-119.25,-90.0,top
C22,1u,C_0603_1608Metric,158.75,-119.25,-90.0,top
C23,100n,C_0603_1608Metric,151.25,-115.75,90.0,top
C24,220u,CP_Elec_6.3x7.7,155.0,-130.0,270.0,top
C25,22u,C_0805_2012Metric,141.0,-129.0,-90.0,top
C26,100n,C_0603_1608Metric,158.75,-122.5,-90.0,top
C27,1n,C_0603_1608Metric,158.75,-114.75,-90.0,top
C28,100u,CP_Elec_6.3x7.7,175.0,-109.0,0.0,top
C29,1u,C_0603_1608Metric,171.25,-119.25,-90.0,top
C3,100n,C_0603_1608Metric,105.5,-107.0,-90.0,top
C30,1u,C_0603_1608Metric,178.75,-119.25,-90.0,top
C31,100n,C_0603_1608Metric,171.25,-115.75,90.0,top
C32,220u,CP_Elec_6.3x7.7,175.0,-130.0,270.0,top
C33,22u,C_0805_2012Metric,161.0,-129.0,-90.0,top
C34,100n,C_0603_1608Metric,178.75,-122.5,-90.0,top
C35,1n,C_0603_1608Metric,178.75,-114.75,-90.0,top
C4,100u,CP_Elec_6.3x7.7,126.0,-65.0,270.0,top
C5,1u,C_0603_1608Metric,115.75,-61.25,180.0,top
C6,1u,C_0603_1608Metric,115.75,-68.75,180.0,top
C7,100n,C_0603_1608Metric,119.25,-61.25,0.0,top
